Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
683,10/1/23,,0,0,7.2,20.7,6.8,11.1,0
683,10/2/23,,0,0,1.3,11.7,0.8,5.3,0
683,10/3/23,,0,0.1,0.1,9.3,0,3.2,0
683,10/4/23,,0.6,0.8,0.1,3.3,-1.3,0.4,3
683,10/5/23,,0.8,1,1.3,3.3,-0.8,1.1,2
683,10/6/23,,0.7,1,1,5.1,-1,1.8,1
683,10/7/23,,0.4,1,3.1,15.4,-1.2,5.1,1
683,10/8/23,,0,1,5,19.5,1.9,8.3,0
683,10/9/23,,0,1,4.4,19.9,3.5,9,0
683,10/10/23,,0,1,5.8,19.8,3.3,8.8,0
683,10/11/23,,0,1,1.3,17.8,1.1,7.2,0
683,10/12/23,,0.7,1.9,-0.9,5.8,-0.9,0.9,6
683,10/13/23,,1.3,2.4,-1.1,2.5,-1.4,-0.4,8
683,10/14/23,,1.2,2.4,0.4,11.2,-3.4,1,6
683,10/15/23,,1.1,2.4,-0.8,10.5,-1.2,1.3,5
683,10/16/23,,1,2.4,3,13.3,-1.1,3.9,3
683,10/17/23,,0.9,2.4,4.6,19.9,2.5,8.5,2
683,10/18/23,,0.5,2.4,1,11.6,0.9,5.9,1
683,10/19/23,,0.5,2.5,2.7,14.7,-0.7,5,1
683,10/20/23,,0.3,2.5,5.1,19.2,1.8,8,1
683,10/21/23,,0.1,2.5,4.5,19.6,3.2,8.6,1
683,10/22/23,,0,2.5,2.8,18.2,2.6,7.7,0
683,10/23/23,,0,2.5,2.9,16,1.6,6.4,0
683,10/24/23,,0.4,2.9,0.1,6.6,0.1,2.1,3
683,10/25/23,,0.5,3.1,-0.2,6.8,-2.7,-0.1,2
683,10/26/23,,1.6,4.1,-1.7,1.4,-1.7,0,12
683,10/27/23,,1.8,4.4,-9.8,-1.7,-12.2,-6.9,17
683,10/28/23,,2.1,4.7,-12.1,3.6,-12.1,-7.6,17
683,10/29/23,,2.1,4.7,-18,4.5,-18.2,-11.3,15
683,10/30/23,,2.1,4.7,-13,2.3,-20.1,-12.2,13
683,10/31/23,,2.1,4.7,-9.7,-1.5,-15.1,-8.8,12
683,11/1/23,,2.2,4.7,-6.8,10.3,-11.7,-4.6,12
683,11/2/23,,2.3,4.8,-3.9,9.2,-7.3,-2.4,11
683,11/3/23,,3,5.5,-0.5,-0.3,-4.3,-2.1,17
683,11/4/23,,3.3,5.8,-0.6,10.1,-1.7,0,17
683,11/5/23,,3.4,6,0.8,8.6,-3.1,0.5,16
683,11/6/23,,4.2,6.8,-1.5,2.7,-1.8,0,21
683,11/7/23,,4.6,7.2,-2.1,4.4,-2.1,-0.1,24
683,11/8/23,,4.6,7.2,-5.5,7.2,-6,-3.2,22
683,11/9/23,,4.5,7.2,-8.2,3.7,-8.3,-5.3,21
683,11/10/23,,4.5,7.2,-9.4,-0.4,-10.1,-7.5,21
683,11/11/23,,4.5,7.2,-6,3.7,-11.7,-6.3,18
683,11/12/23,,4.6,7.2,-4,0,-6.1,-3.9,20
683,11/13/23,,4.6,7.2,-1.3,9.1,-4.8,-0.9,20
683,11/14/23,,4.6,7.2,-2.1,11.4,-2.6,1.3,19
683,11/15/23,,4.6,7.2,-0.3,7.2,-4.3,0.2,19
683,11/16/23,,4.6,7.2,-0.7,7.9,-1.5,1.3,18
683,11/17/23,,4.6,7.2,-2.5,5.3,-2.9,-0.2,18
683,11/18/23,,4.6,7.2,-4.2,7,-4.6,-1.5,17
683,11/19/23,,4.7,7.3,-2,9.6,-5,-0.6,18
683,11/20/23,,4.7,7.3,-5.6,2.3,-5.6,-2.2,18
683,11/21/23,,4.7,7.3,-10.1,-3.5,-10.8,-7.7,18
683,11/22/23,,4.7,7.3,-1.9,14.3,-10.5,-1,18
683,11/23/23,,4.8,7.4,-4.1,6.4,-5.8,-2,19
683,11/24/23,,5,7.4,-12.1,-4.1,-12.2,-7.8,22
683,11/25/23,,5,7.4,-13.6,-9.2,-15.9,-13,22
683,11/26/23,,5,7.4,-12.2,1.7,-15.1,-10,22
683,11/27/23,,5,7.4,-11.4,-2.1,-12.8,-9.6,22
683,11/28/23,,5,7.4,-10.2,0.5,-13,-9.1,21
683,11/29/23,,5.1,7.4,-5.4,9.6,-10.9,-4.6,21
683,11/30/23,,5.1,7.4,-7.8,6.3,-9,-4.8,20
683,12/1/23,,5.3,7.5,-10.4,3,-10.4,-7.1,21
683,12/2/23,,5.5,7.7,-10.9,-0.8,-12.2,-9.1,24
683,12/3/23,,5.8,8,-11.1,-6.9,-13.4,-9.4,28
683,12/4/23,,6.1,8.4,-3.6,-3.5,-13.1,-8.2,28
683,12/5/23,,6.4,8.6,-2.3,0,-3.7,-2.8,29
683,12/6/23,,6.4,8.6,-1.2,1.6,-2.3,-0.6,27
683,12/7/23,,6.4,8.6,-2.1,11.9,-2.8,-0.2,27
683,12/8/23,,6.7,9,-8.6,-1.8,-8.7,-5,29
683,12/9/23,,6.7,9,-12.1,-2.9,-14.2,-9.4,31
683,12/10/23,,6.7,9,-12.9,-1.3,-16.4,-12,30
683,12/11/23,,7.2,9.5,-8.2,-3.2,-12.9,-9,35
683,12/12/23,,7.2,9.5,-6.9,8.6,-8.2,-5.1,33
683,12/13/23,,7.2,9.5,-6.1,7.7,-8.7,-4.7,31
683,12/14/23,,7.2,9.5,-3,9.9,-7.8,-1.2,31
683,12/15/23,,7.2,9.5,-8.2,7.6,-8.5,-3.6,30
683,12/16/23,,7.2,9.5,-6.8,9.7,-10.3,-5.2,30
683,12/17/23,,7.2,9.5,-8,8.2,-8.2,-4.2,30
683,12/18/23,,7.2,9.5,-6.3,6.3,-9.8,-5,30
683,12/19/23,,7.4,9.7,-2.4,11.1,-6.3,-1.2,30
683,12/20/23,,7.4,9.7,-2.1,9.2,-3.9,-0.9,29
683,12/21/23,,7.4,9.8,-1.6,6.7,-2.4,-0.7,29
683,12/22/23,,7.5,9.8,-1.9,3.7,-2.2,-1.3,29
683,12/23/23,,7.5,9.8,-2.6,6.1,-2.9,-1.5,28
683,12/24/23,,7.4,9.8,-15.1,-1.9,-16.5,-7.2,32
683,12/25/23,,7.4,9.8,-19.2,-0.6,-19.5,-13.8,31
683,12/26/23,,7.4,9.8,-9,4.1,-20.6,-11.2,31
683,12/27/23,,7.4,9.8,-8.8,8.5,-11.1,-6.6,31
683,12/28/23,,7.4,9.8,-5.2,9.1,-12.5,-5.3,31
683,12/29/23,,7.5,9.8,-4.7,8.9,-6,-2.6,30
683,12/30/23,,7.6,9.8,-4,5.2,-5.4,-2.7,30
683,12/31/23,,7.6,9.8,-2.3,11.8,-4.4,-0.5,30
683,1/1/24,,7.6,9.8,-5.7,8.8,-5.9,-1.5,29
683,1/2/24,,7.6,9.8,-8.8,3.1,-9.7,-5.3,29
683,1/3/24,,7.6,9.8,-9.1,0.6,-10.7,-7.2,29
683,1/4/24,,7.6,9.8,-8.6,3.6,-10.1,-6.4,30
683,1/5/24,,7.8,10,-9.7,-2,-10.4,-7.4,32
683,1/6/24,,7.8,10,-12.8,-6,-13.3,-10,32
683,1/7/24,,7.8,10,-13,-7.4,-13.3,-11.6,33
683,1/8/24,,7.8,10,-15.7,-6.5,-18.2,-12.8,32
683,1/9/24,,7.8,10,-15.9,-3,-22.1,-15.9,34
683,1/10/24,,8.2,10.3,-12.3,-5.4,-15.9,-11.9,36
683,1/11/24,,8.3,10.4,-15.6,-5.2,-17,-12.7,37
683,1/12/24,,8.4,10.4,-14.8,-9.4,-18,-14.9,37
683,1/13/24,,8.4,10.4,-26.9,-9.6,-27.2,-19.4,38
683,1/14/24,,8.4,10.4,-19.2,-13.5,-33.9,-24.6,37
683,1/15/24,,8.4,10.4,-20.8,-7.4,-21.1,-15.8,37
683,1/16/24,,8.4,10.4,-26.9,-2.9,-35.4,-23.6,38
683,1/17/24,,8.7,10.8,-13,-2.1,-27.2,-16.6,38
683,1/18/24,,9.3,11.4,-6.9,1.4,-13,-7.5,41
683,1/19/24,,9.3,11.5,-9.2,-1.8,-15.7,-9.2,41
683,1/20/24,,9.6,11.8,-3.2,-0.1,-9.2,-4.7,41
683,1/21/24,,9.6,11.8,-3.6,10.5,-3.6,-1.3,40
683,1/22/24,,9.7,11.8,-4.2,0.2,-4.4,-3.1,39
683,1/23/24,,9.7,11.8,-4.4,2.9,-4.9,-3.3,39
683,1/24/24,,9.9,12,-4.3,1.1,-4.8,-3.3,38
683,1/25/24,,9.9,12,-6.8,1.2,-7.2,-5,41
683,1/26/24,,9.9,12,-7.1,-1.2,-8.1,-5.9,41
683,1/27/24,,9.9,12,-8.6,0.4,-9.2,-7,41
683,1/28/24,,10,12.1,-4.6,-2.9,-9.1,-6.1,41
683,1/29/24,,10,12.1,-1,1,-4.8,-2.1,40
683,1/30/24,,10,12.1,-2.2,10.1,-3,-0.4,40
683,1/31/24,,10,12.1,-1.3,18.4,-2.8,1.3,40
683,2/1/24,,10,12.1,-1.5,14.2,-3.9,1,39
683,2/2/24,,10,12.1,-1.4,12.7,-4.3,1,39
683,2/3/24,,10.1,12.2,-3.4,10.1,-3.4,1,39
683,2/4/24,,10.6,12.6,-6.5,0.2,-6.5,-4.2,42
683,2/5/24,,10.6,12.6,-9.4,-1.8,-13.3,-7.4,46
683,2/6/24,,10.8,12.9,-6.2,4.1,-9.7,-4.7,46
683,2/7/24,,10.9,13,-3.1,2.2,-6.2,-2.2,46
683,2/8/24,,11.1,13.1,-6.6,2.2,-6.7,-3.3,46
683,2/9/24,,11.2,13.1,-10.3,-0.1,-10.3,-7,50
683,2/10/24,,11.2,13.1,-13,1.8,-13,-9,50
683,2/11/24,,11.2,13.1,-15.9,-1.6,-16.2,-11.3,49
683,2/12/24,,11.4,13.4,-9.6,-3.1,-16.2,-9.6,49
683,2/13/24,,11.7,13.6,-9.5,-1.8,-10.5,-8.4,50
683,2/14/24,,11.8,13.7,-11,1.2,-13.7,-7.8,52
683,2/15/24,,12,13.9,-7.9,-0.9,-12.5,-8.8,53
683,2/16/24,,12.8,14.7,-8.4,-0.2,-8.4,-5.7,60
683,2/17/24,,12.8,14.7,-17.2,-4.5,-19.4,-11.9,60
683,2/18/24,,12.9,14.8,-9.1,12,-18.2,-7.5,57
683,2/19/24,,13.2,15.2,-7.1,1.3,-10.6,-6.8,56
683,2/20/24,,13.4,15.3,-4.4,6.4,-7.1,-3.7,55
683,2/21/24,,13.4,15.4,-6.4,5.3,-6.6,-3.3,54
683,2/22/24,,13.4,15.4,-6.3,11.7,-8.6,-3.8,54
683,2/23/24,,13.5,15.5,-7.8,3.9,-7.8,-5.2,55
683,2/24/24,,13.5,15.5,-7,4.8,-10.4,-6.2,54
683,2/25/24,,13.7,15.6,-4.9,1,-7.1,-4.7,51
683,2/26/24,,14.1,16,-3.6,0,-5.7,-3.8,59
683,2/27/24,,14.5,16.3,-13,-2.8,-13,-5.6,63
683,2/28/24,,14.5,16.3,-16.4,0.2,-19.5,-13.2,61
683,2/29/24,,14.8,16.6,-7.5,0.7,-16.4,-8.5,61
683,3/1/24,,15.1,16.9,-3.5,2.6,-11.7,-4,60
683,3/2/24,,15.8,17.5,-6.5,-1.7,-7.1,-4.9,65
683,3/3/24,,16.3,17.8,-13.4,4.1,-13.4,-7.1,70
683,3/4/24,,16.3,17.8,-15.5,-0.8,-16.3,-12.4,69
683,3/5/24,,16.5,18,-15.9,0.9,-16.1,-12.1,70
683,3/6/24,,17.3,18.5,-7.4,-4.1,-15.9,-9.3,78
683,3/7/24,,17.5,18.7,-11,5,-15.5,-7.3,79
683,3/8/24,,17.4,19,-15,7.7,-15.4,-7.9,79
683,3/9/24,,17.5,19.1,-10.7,7.8,-16.8,-7.3,70
683,3/10/24,,17.6,19.2,-7.9,8.2,-11.4,-4.1,72
683,3/11/24,,17.6,19.2,-5.3,8.7,-8.7,-3.1,71
683,3/12/24,,17.8,19.4,-5.1,8.6,-7.1,-2,69
683,3/13/24,,17.9,19.6,-6.3,1.6,-6.9,-3.8,67
683,3/14/24,,18.1,19.8,-7.7,10.3,-7.9,-4.6,69
683,3/15/24,,18.1,19.8,-10.6,3.1,-10.9,-6.1,70
683,3/16/24,,18.2,19.8,-3.8,11.8,-10.8,-1.3,67
683,3/17/24,,18.3,19.8,-1.8,9.2,-4.3,0.2,66
683,3/18/24,,18.3,19.8,-3,13.4,-6.9,1.1,65
683,3/19/24,,18.3,19.8,-2.4,15.4,-4.5,2.8,64
683,3/20/24,,18.3,19.8,-2.5,16.9,-4.2,2.9,62
683,3/21/24,,18.2,19.8,-0.6,12.9,-3,2.4,61
683,3/22/24,,18.5,20.1,-4,3.4,-4.7,-1.4,61
683,3/23/24,,18.6,20.1,-1.9,8.6,-5.2,-0.9,62
683,3/24/24,,18.8,20.4,-3.5,11.1,-3.5,0.1,64
683,3/25/24,,18.9,20.4,-12.2,0.2,-12.8,-5.5,65
683,3/26/24,,18.9,20.4,-13,3.9,-16,-8,66
683,3/27/24,,19.1,20.6,-8,4.5,-13.3,-7,65
683,3/28/24,,19.3,20.8,-4.8,4.1,-9.1,-5.1,67
683,3/29/24,,19.6,21.1,-7.1,2.8,-7.1,-3.6,69
683,3/30/24,,19.6,21.1,-7.5,8.2,-8.2,-3.4,67
683,3/31/24,,19.8,21.3,-4.7,9.1,-9,-2.5,66
683,4/1/24,,19.8,21.3,-9.2,0.9,-9.8,-4.4,67
683,4/2/24,,19.8,21.3,-5.9,10.2,-12.7,-2.7,65
683,4/3/24,,19.9,21.4,0,12.6,-7.8,1.5,64
683,4/4/24,,19.7,21.4,1.4,14.5,-2,3.7,63
683,4/5/24,,19.7,21.4,3.5,18.9,0.6,6.5,61
683,4/6/24,,19.8,21.5,-7.4,13.6,-7.4,3.3,61
683,4/7/24,,20.6,21.9,-7.3,-1.3,-7.6,-5.8,67
683,4/8/24,,21,22.3,-7.2,3,-8.5,-4.7,69
683,4/9/24,,21.1,22.4,-6.1,2.8,-8,-4.6,67
683,4/10/24,,21.2,22.5,-3.5,3,-6.9,-3,67
683,4/11/24,,21.2,22.5,-4,9.9,-7.9,-1.5,65
683,4/12/24,,21.2,22.5,0.1,11.5,-6.1,1.8,64
683,4/13/24,,21,22.6,0.9,15.5,-1.6,5.8,62
683,4/14/24,,21,22.6,3,19.2,0.4,7.3,61
683,4/15/24,,20.6,22.6,1.2,20.7,0.9,8.1,59
683,4/16/24,,20.6,22.6,-0.3,11.9,-1.7,1.8,58
683,4/17/24,,20.8,22.8,-2.7,11.2,-3.4,0.1,62
683,4/18/24,,21.2,23,-15.7,1.4,-16.2,-6.8,66
683,4/19/24,,21.4,23.2,-12.4,10.9,-17.6,-6.8,62
683,4/20/24,,21.5,23.3,-11.1,9.7,-14.9,-6.4,62
683,4/21/24,,21.5,23.3,-4.4,12.5,-12.4,-0.8,60
683,4/22/24,,21.5,23.3,-0.1,12.7,-4.6,3.3,59
683,4/23/24,,21.2,23.3,-2.7,10.7,-4.7,2.1,58
683,4/24/24,,21,23.3,0.2,14.1,-4.7,3.3,57
683,4/25/24,,20.3,23.4,1.3,18.8,-0.1,7.3,55
683,4/26/24,,20.4,23.7,0.2,11.9,0.2,2.5,56
683,4/27/24,,20.5,23.8,-0.8,11.5,-1.1,1.7,57
683,4/28/24,,20.5,23.8,0,9.7,-1.4,1.7,56
683,4/29/24,,20.6,24,-1.7,11.8,-1.7,1.6,56
683,4/30/24,,20.6,24,-5.5,9.4,-5.5,0.6,56
683,5/1/24,,20.6,24.1,-5.2,3.7,-8.4,-3.9,57
683,5/2/24,,21.2,24.7,-9.1,2.8,-10,-5.7,62
683,5/3/24,,21.3,24.7,-7.1,6.5,-9.2,-3.9,59
683,5/4/24,,21.3,24.7,-6.9,6.6,-10.9,-3.7,58
683,5/5/24,,21.4,25,3.7,17.6,-8,4.3,56
683,5/6/24,,21.9,25.5,-1.7,13.9,-1.7,3.6,60
683,5/7/24,,21.9,25.6,-5.2,0.8,-5.5,-2.4,61
683,5/8/24,,22.1,25.9,-5.9,3.5,-6,-3.3,63
683,5/9/24,,23,26.6,-2.6,7.8,-5.9,-1.8,67
683,5/10/24,,23.1,26.7,-0.2,7.7,-2.6,0.9,64
683,5/11/24,,23.1,26.7,2.7,19,-1.2,6.5,60
683,5/12/24,,22.7,26.7,4.4,21.3,0.6,9.2,58
683,5/13/24,,22.1,26.7,5,22.7,3.5,10.6,56
683,5/14/24,,21.6,26.8,2.3,19.6,2.2,7.9,55
683,5/15/24,,21.7,27.2,-0.2,14.2,-0.9,3.2,54
683,5/16/24,,21.5,27.2,3,16,-0.9,5.3,54
683,5/17/24,,20.8,27.2,5,17.2,1.1,7.3,53
683,5/18/24,,20,27.2,-4.1,12.9,-4.2,5.2,51
683,5/19/24,,19.3,27.2,1.8,12.3,-4.7,3.5,49
683,5/20/24,,19,27.2,-3.7,10.1,-3.8,2.2,48
683,5/21/24,,18.3,27.2,-3.3,11.3,-5.4,0.9,46
683,5/22/24,,18,27.3,-0.4,13.4,-3.7,1.4,46
683,5/23/24,,18.1,27.5,-1.6,9.9,-1.7,1.5,47
683,5/24/24,,18.7,28.1,-4.1,3.6,-5.3,-1.7,54
683,5/25/24,,18.6,28.1,0.1,10.7,-4.1,1.6,49
683,5/26/24,,18.9,28.4,-0.1,14.1,-0.7,3,49
683,5/27/24,,19.3,28.7,0.2,10.4,-0.8,2.1,50
683,5/28/24,,19,28.8,4.3,17.8,-1.3,7.4,48
683,5/29/24,,18.1,28.9,5.9,22.4,3.7,11.9,45
683,5/30/24,,17.5,29,-0.3,16.9,-0.6,6.2,43
683,5/31/24,,17.1,29,-0.5,11.6,-2.4,1.9,43
683,6/1/24,,16.6,29,1.7,14.7,-1.2,5.9,41
683,6/2/24,,15.3,29.1,4.4,18.2,1.2,9.3,39
683,6/3/24,,14.7,29.2,5.4,14.3,3.5,7.4,38
683,6/4/24,,14.5,29.8,2.3,6.7,1.7,4.7,36
683,6/5/24,,13.5,29.8,6,14.7,1,6.3,34
683,6/6/24,,12,29.8,6.8,18.3,4.9,10.5,31
683,6/7/24,,10.8,29.8,9.9,22.1,4.7,12.9,29
683,6/8/24,,9.6,29.8,7.4,23.2,7.2,12.6,26
683,6/9/24,,8.1,29.8,7.9,22.2,6.6,13.2,23
683,6/10/24,,6.8,30.1,6,22.6,5.7,11.3,18
683,6/11/24,,5.7,30.1,6,18.5,5.3,8.9,16
683,6/12/24,,4.2,30.1,9,19.9,5.4,12.3,12
683,6/13/24,,2.2,30.1,7.7,20.8,6.3,13.2,6
683,6/14/24,,0.5,30.1,11.2,23.2,5.6,14.3,2
683,6/15/24,,0.1,30.1,7.9,22.9,6.5,14.1,1
683,6/16/24,,0,30.1,4,17.6,3.9,10.9,0
683,6/17/24,,0,30.1,6.5,14.8,0.6,7.7,0
683,6/18/24,,0,30.3,-2.5,9.8,-2.8,2.6,0
683,6/19/24,,0,30.4,-1.4,8,-3,-0.2,0
683,6/20/24,,0,30.5,4.2,17.4,-1.4,7.9,0
683,6/21/24,,0,30.5,8.7,22.4,2.8,11.5,0
683,6/22/24,,0,30.6,8.6,22.4,6.8,13.2,0
683,6/23/24,,0,30.6,12.5,23.9,7.4,15,0
683,6/24/24,,0,30.6,13.4,24.8,10.7,17.8,0
683,6/25/24,,0,30.6,10,24.4,10,16.6,0
683,6/26/24,,0,30.6,11.4,25.4,8,15.3,0
683,6/27/24,,0,30.9,7.8,20.6,7.7,12.8,0
683,6/28/24,,0,30.9,5.2,18.3,4.6,10.2,0
683,6/29/24,,0,30.9,2.8,16,2.8,8.2,0
683,6/30/24,,0,31,11,23.1,2.8,13.7,0
683,7/1/24,,0,31,8.9,26.4,8.9,17.1,0
683,7/2/24,,0,31.3,3.7,14.4,3.6,7.4,0
683,7/3/24,,0,31.3,4.7,17.4,3.1,7.1,0
683,7/4/24,,0,31.5,2.8,16,2.2,6.6,0
683,7/5/24,,0,31.5,5.8,17.9,2.3,8.6,0
683,7/6/24,,0,31.5,7.8,21.9,4.5,12,0
683,7/7/24,,0,31.6,7.2,20.4,6.3,11,0
683,7/8/24,,0,31.6,9.1,22.5,4.9,11.7,0
683,7/9/24,,0,31.6,11.4,26.7,7.5,15.3,0
683,7/10/24,,0,31.6,13.1,28.7,11.4,17.8,0
683,7/11/24,,0,31.6,14.8,29.7,12.2,19.3,0
683,7/12/24,,0,31.6,15.2,28.8,14.5,20.2,0
683,7/13/24,,0,31.6,13.1,27.6,10.2,17.6,0
683,7/14/24,,0,31.7,14.9,28.5,11.4,18.5,0
683,7/15/24,,0,31.8,9.7,27.9,9.2,16.5,0
683,7/16/24,,0,31.9,10.2,22.6,8.7,13.2,0
683,7/17/24,,0,31.9,11.7,25.9,9.4,16.3,0
683,7/18/24,,0,31.9,10.9,25.5,9.8,15.4,0
683,7/19/24,,0,32.2,11.9,26.9,10.2,15.7,0
683,7/20/24,,0,32.2,13,26.9,11.4,17.4,0
683,7/21/24,,0,32.2,10.5,25.9,10.4,14.7,0
683,7/22/24,,0,32.2,11.2,22.9,9.6,15,0
683,7/23/24,,0,32.2,13.4,27.7,10.6,17.6,0
683,7/24/24,,0,32.2,13.9,29.3,11.4,18.5,0
683,7/25/24,,0,32.2,15.3,30.2,12.5,19.8,0
683,7/26/24,,0,32.2,11.9,24,11.7,16.3,0
683,7/27/24,,0,32.2,9.6,22.6,8.1,14,0
683,7/28/24,,0,32.2,7.1,24.6,6.6,12.1,0
683,7/29/24,,0,32.3,7.2,20.4,5.6,11.3,0
683,7/30/24,,0,32.3,12.5,23,6.6,14.5,0
683,7/31/24,,0,32.3,4.8,21.9,4.8,12.3,0
683,8/1/24,,0,32.4,10.2,23.7,4.2,12.1,0
683,8/2/24,,0,32.4,13.7,28.7,9.1,17.9,0
683,8/3/24,,0,32.4,16.2,29.8,13.7,20.9,0
683,8/4/24,,0,32.4,17.1,30.4,15,21.2,0
683,8/5/24,,0,32.4,10.6,26.5,8.7,15.8,0
683,8/6/24,,0,32.4,11,27.3,9,16.5,0
683,8/7/24,,0,32.5,11.9,26.5,10.1,16.1,0
683,8/8/24,,0,32.5,7.2,24.2,7.2,12.8,0
683,8/9/24,,0,32.5,6.2,17.7,6.2,9.3,0
683,8/10/24,,0,32.5,8.9,23.6,4.2,10.9,0
683,8/11/24,,0,32.8,6.3,19.6,6.1,10.2,0
683,8/12/24,,0,32.9,9,20.8,3.9,11.6,0
683,8/13/24,,0,32.9,9.7,24.5,7.2,12.5,0
683,8/14/24,,0,33.1,5.2,19.6,5,9.6,0
683,8/15/24,,0,33.2,5,18.1,4.2,7.4,0
683,8/16/24,,0,33.3,6.8,22.6,4.4,12,0
683,8/17/24,,0,33.4,9.6,22.2,6.6,14,0
683,8/18/24,,0,33.4,10.5,27.2,9.4,17.4,0
683,8/19/24,,0,33.4,9.1,27.4,8.8,16.4,0
683,8/20/24,,0,33.4,11.5,26,8.7,15.5,0
683,8/21/24,,0,33.4,12.2,25.8,10.3,15.8,0
683,8/22/24,,0,33.4,8.6,25.2,8.3,16.2,0
683,8/23/24,,0,33.4,11.4,25.3,8.1,15.8,0
683,8/24/24,,0,33.4,10.1,24.8,7.5,12.6,0
683,8/25/24,,0,33.4,7.2,24,7.1,14.1,0
683,8/26/24,,0,33.5,4.8,19.3,4.8,9.5,0
683,8/27/24,,-99.9,33.8,4.6,17.8,3.5,7.9,0
683,8/28/24,,0,33.8,10.5,22.4,3.9,12.7,-99.9
683,8/29/24,,-99.9,33.7,2.7,17.7,2.5,10.3,-99.9
683,8/30/24,,0,33.8,7.1,20.2,1.1,10.3,0
683,8/31/24,,0,33.8,10.4,24.6,6.3,14.6,0
683,9/1/24,,0,33.8,12,27.3,9.4,16.6,0
683,9/2/24,,0,33.9,12.3,27.7,-99.9,17.5,-99.9
683,9/3/24,,0,33.9,12.6,26.2,-99.9,16.8,-99.9
683,9/4/24,,0,34,8.5,21.7,6.9,10.7,0
683,9/5/24,,0,34,7.9,21.4,6.6,11.8,0