valid,tmpf,p01i,relh,sknt,tmp_c,Td,P_mm,cumm_prec,HP_fresh_snow,snowfall,cummulative_snowfall,month
2023-10-27T00:56:00Z,19,0.01,87.87,0.00,-7.222222222222222,-9.648222222222222,0.245,0.245,71.07255372113457,3.4471816077033024,3.4471816077033024,Oct
2023-10-28T02:56:00Z,14,0.01,83.77,0.00,-10,-13.246,0.245,0.49,68.9986516155818,3.550794026599097,6.997975634302399,Oct
2023-11-02T08:56:00Z,28,0.02,92.08,0.00,-2.2222222222222223,-3.806222222222223,0.49,0.98,89.65045559050863,5.465672168339507,12.463647802641907,Nov
2023-11-02T09:56:00Z,30,0.02,88.44,0.00,-1.1111111111111112,-3.4231111111111114,0.49,1.47,101.29193205395168,4.8375027513445845,17.301150553986492,Nov
2023-11-02T10:56:00Z,30,0.04,92.15,0.00,-1.1111111111111112,-2.68111111111111,0.98,2.45,101.29193205395168,9.675005502689169,26.97615605667566,Nov
2023-11-02T11:56:00Z,31,0.03,92.19,0.00,-0.5555555555555556,-2.117555555555556,0.735,3.185,109.27591273040682,6.726093442141352,33.70224949881701,Nov
2023-11-02T19:56:00Z,31,0.04,96.02,0.00,-0.5555555555555556,-1.3515555555555565,0.98,4.165,109.27591273040682,8.968124589521802,42.67037408833881,Nov
2023-11-08T05:56:00Z,19,0.01,87.87,0.00,-7.222222222222222,-9.648222222222222,0.245,4.41,71.07255372113457,3.4471816077033024,46.11755569604212,Nov
2023-11-10T09:56:00Z,25,0.01,71.22,0.00,-3.8888888888888893,-9.64488888888889,0.245,4.655,79.33826329041156,3.088043395948768,49.205599091990884,Nov
2023-11-19T01:56:00Z,28,0.01,92.08,0.00,-2.2222222222222223,-3.806222222222223,0.245,4.9,89.65045559050863,2.7328360841697537,51.93843517616064,Nov
2023-11-19T02:56:00Z,28,0.01,92.08,0.00,-2.2222222222222223,-3.806222222222223,0.245,5.145,89.65045559050863,2.7328360841697537,54.67127126033039,Nov
2023-11-19T05:56:00Z,28,0.02,95.97,0.00,-2.2222222222222223,-3.0282222222222224,0.49,5.635,89.65045559050863,5.465672168339507,60.136943428669895,Nov
2023-11-19T06:56:00Z,29,0.03,92.12,0.00,-1.6666666666666667,-3.2426666666666657,0.735,6.37,94.84930165206421,7.74913454498802,67.88607797365792,Nov
2023-12-01T08:56:00Z,17,0.01,83.98,0.00,-8.333333333333334,-11.537333333333333,0.245,6.615,69.97281577713434,3.501359739192615,71.38743771285053,Dec
2023-12-01T09:56:00Z,20,0.01,77.16,0.00,-6.666666666666667,-11.234666666666667,0.245,6.859999999999999,71.82677819786949,3.410984122454585,74.79842183530512,Dec
2023-12-03T15:56:00Z,23,0.02,84.39,0.00,-5,-8.122,0.49,7.35,75.35511232588772,6.5025448821693805,81.3009667174745,Dec
2023-12-03T16:56:00Z,22,0.02,88.02,0.00,-5.555555555555555,-7.951555555555556,0.49,7.84,73.91972402907676,6.628812626617162,87.92977934409166,Dec
2023-12-03T17:56:00Z,22,0.05,88.02,0.00,-5.555555555555555,-7.951555555555556,1.225,9.065,73.91972402907676,16.572031566542904,104.50181091063456,Dec
2023-12-04T04:56:00Z,28,0.01,88.33,0.00,-2.2222222222222223,-4.556222222222223,0.245,9.31,89.65045559050863,2.7328360841697537,107.23464699480432,Dec
2023-12-07T02:56:00Z,28,0.02,92.08,0.00,-2.2222222222222223,-3.806222222222223,0.49,9.8,89.65045559050863,5.465672168339507,112.70031916314383,Dec
2023-12-07T03:56:00Z,29,0.03,92.12,0.00,-1.6666666666666667,-3.2426666666666657,0.735,10.535,94.84930165206421,7.74913454498802,120.44945370813184,Dec
2023-12-07T04:56:00Z,29,0.02,92.12,0.00,-1.6666666666666667,-3.2426666666666657,0.49,11.025,94.84930165206421,5.166089696658679,125.61554340479053,Dec
2023-12-08T03:56:00Z,18,0.05,91.72,0.00,-7.777777777777779,-9.43377777777778,1.225,12.25,70.46393632330069,17.38477956127073,143.00032296606125,Dec
2023-12-08T04:56:00Z,16,0.02,91.64,0.00,-8.88888888888889,-10.56088888888889,0.49,12.74,69.57650868547844,7.042606897897848,150.0429298639591,Dec
2023-12-08T05:56:00Z,18,0.02,91.72,0.00,-7.777777777777779,-9.43377777777778,0.49,13.23,70.46393632330069,6.9539118245082925,156.99684168846738,Dec
2023-12-08T06:56:00Z,18,0.03,91.72,0.00,-7.777777777777779,-9.43377777777778,0.735,13.965,70.46393632330069,10.430867736762437,167.42770942522984,Dec
2023-12-08T07:56:00Z,19,0.04,91.76,0.00,-7.222222222222222,-8.870222222222221,0.98,14.945,71.07255372113457,13.78872643081321,181.21643585604303,Dec
2023-12-08T08:56:00Z,19,0.01,91.76,0.00,-7.222222222222222,-8.870222222222221,0.245,15.19,71.07255372113457,3.4471816077033024,184.66361746374633,Dec
2023-12-08T09:56:00Z,22,0.01,84.33,0.00,-5.555555555555555,-8.689555555555556,0.245,15.435,73.91972402907676,3.314406313308581,187.97802377705491,Dec
2023-12-10T00:56:00Z,13,0.03,83.7,0.00,-10.555555555555555,-13.815555555555555,0.735,16.17,68.79041213815636,10.68462852822935,198.66265230528427,Dec
2023-12-10T01:56:00Z,13,0.02,80.02,0.00,-10.555555555555555,-14.551555555555556,0.49,16.66,68.79041213815636,7.123085685486234,205.7857379907705,Dec
2023-12-10T05:56:00Z,14,0.01,76.58,0.00,-10,-14.684000000000001,0.245,16.905,68.9986516155818,3.550794026599097,209.3365320173696,Dec
2023-12-10T10:56:00Z,18,0.01,80.44,0.00,-7.777777777777779,-11.68977777777778,0.245,17.15,70.46393632330069,3.4769559122541462,212.81348792962376,Dec
2023-12-10T18:56:00Z,19,0.02,87.87,0.00,-7.222222222222222,-9.648222222222222,0.49,17.64,71.07255372113457,6.894363215406605,219.70785114503036,Dec
2023-12-10T19:56:00Z,19,0.01,87.87,0.00,-7.222222222222222,-9.648222222222222,0.245,17.885,71.07255372113457,3.4471816077033024,223.15503275273366,Dec
2023-12-10T20:56:00Z,18,0.02,91.72,0.00,-7.777777777777779,-9.43377777777778,0.49,18.375,70.46393632330069,6.9539118245082925,230.10894457724194,Dec
2023-12-20T02:56:00Z,22,0.03,91.87,0.00,-5.555555555555555,-7.181555555555555,0.735,19.11,73.91972402907676,9.943218939925742,240.05216351716768,Dec
2023-12-20T05:56:00Z,24,0.01,91.94,0.00,-4.444444444444445,-6.056444444444445,0.245,19.355,77.13390634480132,3.1762944677637543,243.22845798493145,Dec
2023-12-22T17:56:00Z,31,0.01,84.92,0.00,-0.5555555555555556,-3.5715555555555554,0.245,19.6,109.27591273040682,2.2420311473804504,245.4704891323119,Dec
2023-12-22T21:56:00Z,30,0.01,88.44,0.00,-1.1111111111111112,-3.4231111111111114,0.245,19.845,101.29193205395168,2.4187513756722923,247.8892405079842,Dec
2023-12-23T00:56:00Z,30,0.01,88.44,0.00,-1.1111111111111112,-3.4231111111111114,0.245,20.09,101.29193205395168,2.4187513756722923,250.30799188365648,Dec
2023-12-23T04:56:00Z,29,0.01,88.38,0.00,-1.6666666666666667,-3.9906666666666677,0.245,20.335,94.84930165206421,2.5830448483293393,252.89103673198582,Dec
2023-12-23T07:56:00Z,27,0.02,84.66,0.00,-2.7777777777777777,-5.845777777777778,0.49,20.825,85.45527463401083,5.733993625303757,258.6250303572896,Dec
2024-01-04T23:56:00Z,20,0.01,87.92,0.00,-6.666666666666667,-9.082666666666666,0.245,21.07,71.82677819786949,3.410984122454585,262.03601447974415,Jan
2024-01-05T00:56:00Z,17,0.01,83.98,0.00,-8.333333333333334,-11.537333333333333,0.245,21.315,69.97281577713434,3.501359739192615,265.5373742189368,Jan
2024-01-05T06:56:00Z,15,0.01,91.61,0.00,-9.444444444444445,-11.122444444444445,0.245,21.56,69.25671080261088,3.5375633228998775,269.0749375418367,Jan
2024-01-06T19:56:00Z,14,0.01,87.59,0.00,-10,-12.482,0.245,21.805,68.9986516155818,3.550794026599097,272.62573156843575,Jan
2024-01-06T22:56:00Z,13,0.01,87.54,0.00,-10.555555555555555,-13.047555555555554,0.245,22.05,68.79041213815636,3.561542842743117,276.18727441117886,Jan
2024-01-07T00:56:00Z,11,0.01,91.45,0.00,-11.666666666666668,-13.376666666666667,0.245,22.294999999999998,68.48677726309246,3.577332877831741,279.7646072890106,Jan
2024-01-07T02:56:00Z,12,0.01,87.48,0.00,-11.11111111111111,-13.61511111111111,0.245,22.54,68.62237440829426,3.5702641028169855,283.3348713918276,Jan
2024-01-07T04:56:00Z,6,0.01,83.19,0.00,-14.444444444444445,-17.806444444444445,0.245,22.785,68.11392380418809,3.5969150845621347,286.93178647638973,Jan
2024-01-07T11:56:00Z,15,0.02,83.84,0.00,-9.444444444444445,-12.676444444444444,0.49,23.275,69.25671080261088,7.075126645799755,294.0069131221895,Jan
2024-01-07T14:56:00Z,17,0.01,80.36,0.00,-8.333333333333334,-12.261333333333333,0.245,23.52,69.97281577713434,3.501359739192615,297.5082728613821,Jan
2024-01-09T04:56:00Z,8,0.01,87.25,0.00,-13.333333333333334,-15.883333333333333,0.245,23.765,68.21781299292387,3.5914373277462515,301.09971018912836,Jan
2024-01-09T05:56:00Z,8,0.01,87.25,0.00,-13.333333333333334,-15.883333333333333,0.245,24.009999999999998,68.21781299292387,3.5914373277462515,304.6911475168746,Jan
2024-01-09T08:56:00Z,11,0.01,83.56,0.00,-11.666666666666668,-14.954666666666668,0.245,24.255,68.48677726309246,3.577332877831741,308.26848039470633,Jan
2024-01-09T09:56:00Z,12,0.01,83.63,0.00,-11.11111111111111,-14.385111111111112,0.245,24.5,68.62237440829426,3.5702641028169855,311.83874449752335,Jan
2024-01-09T12:56:00Z,17,0.01,80.36,0.00,-8.333333333333334,-12.261333333333333,0.245,24.745,69.97281577713434,3.501359739192615,315.34010423671594,Jan
2024-01-10T08:56:00Z,10,0.01,83.49,0.00,-12.222222222222223,-15.524222222222225,0.245,24.99,68.3773578737567,3.5830574274650537,318.923161664181,Jan
2024-01-10T11:56:00Z,14,0.01,76.58,0.00,-10,-14.684000000000001,0.245,25.235,68.9986516155818,3.550794026599097,322.4739556907801,Jan
2024-01-10T14:56:00Z,13,0.01,83.7,0.00,-10.555555555555555,-13.815555555555555,0.245,25.48,68.79041213815636,3.561542842743117,326.0354985335232,Jan
2024-01-10T15:56:00Z,12,0.04,87.48,0.00,-11.11111111111111,-13.61511111111111,0.98,26.46,68.62237440829426,14.281056411267942,340.31655494479116,Jan
2024-01-10T16:56:00Z,12,0.01,87.48,0.00,-11.11111111111111,-13.61511111111111,0.245,26.705,68.62237440829426,3.5702641028169855,343.8868190476081,Jan
2024-01-10T17:56:00Z,12,0.09,83.63,0.00,-11.11111111111111,-14.385111111111112,2.205,28.91,68.62237440829426,32.13237692535287,376.01919597296103,Jan
2024-01-10T18:56:00Z,12,0.1,83.63,0.00,-11.11111111111111,-14.385111111111112,2.45,31.36,68.62237440829426,35.702641028169865,411.7218370011309,Jan
2024-01-10T19:56:00Z,11,0.01,83.56,0.00,-11.666666666666668,-14.954666666666668,0.245,31.605,68.48677726309246,3.577332877831741,415.29916987896263,Jan
2024-01-10T20:56:00Z,10,0.01,79.76,0.00,-12.222222222222223,-16.270222222222223,0.245,31.85,68.3773578737567,3.5830574274650537,418.8822273064277,Jan
2024-01-11T19:56:00Z,7,0.01,87.2,0.00,-13.88888888888889,-16.448888888888888,0.245,32.095,68.16031859795787,3.594466766581992,422.47669407300964,Jan
2024-01-14T21:56:00Z,6,0.01,79.41,0.00,-14.444444444444445,-18.562444444444445,0.245,32.34,68.11392380418809,3.5969150845621347,426.0736091575718,Jan
2024-01-17T03:56:00Z,8,0.01,83.34,0.00,-13.333333333333334,-16.665333333333333,0.245,32.585,68.21781299292387,3.5914373277462515,429.66504648531804,Jan
2024-01-17T04:56:00Z,9,0.02,83.41,0.00,-12.777777777777779,-16.09577777777778,0.49,33.075,68.28906248416871,7.175380392923032,436.8404268782411,Jan
2024-01-17T05:56:00Z,9,0.03,87.31,0.00,-12.777777777777779,-15.315777777777779,0.735,33.81,68.28906248416871,10.763070589384549,447.60349746762563,Jan
2024-01-17T07:56:00Z,10,0.01,87.37,0.00,-12.222222222222223,-14.748222222222221,0.245,34.055,68.3773578737567,3.5830574274650537,451.1865548950907,Jan
2024-01-17T08:56:00Z,11,0.01,87.42,0.00,-11.666666666666668,-14.182666666666668,0.245,34.3,68.48677726309246,3.577332877831741,454.76388777292243,Jan
2024-01-19T11:56:00Z,28,0.01,81.25,0.00,-2.2222222222222223,-5.972222222222222,0.245,34.545,89.65045559050863,2.7328360841697537,457.4967238570922,Jan
2024-01-20T20:56:00Z,30,0.01,88.44,0.00,-1.1111111111111112,-3.4231111111111114,0.245,34.79,101.29193205395168,2.4187513756722923,459.9154752327645,Jan
2024-01-21T06:56:00Z,27,0.01,92.05,0.00,-2.7777777777777777,-4.367777777777778,0.245,35.035,85.45527463401083,2.8669968126518786,462.78247204541634,Jan
2024-01-21T18:56:00Z,30,0.01,84.85,0.00,-1.1111111111111112,-4.141111111111112,0.245,35.28,101.29193205395168,2.4187513756722923,465.2012234210886,Jan
2024-01-22T08:56:00Z,27,0.01,88.28,0.00,-2.7777777777777777,-5.121777777777778,0.245,35.525,85.45527463401083,2.8669968126518786,468.06822023374053,Jan
2024-01-23T10:56:00Z,25,0.01,84.53,0.00,-3.8888888888888893,-6.982888888888889,0.245,35.77,79.33826329041156,3.088043395948768,471.1562636296893,Jan
2024-01-23T17:56:00Z,27,0.02,92.05,0.00,-2.7777777777777777,-4.367777777777778,0.49,36.26,85.45527463401083,5.733993625303757,476.89025725499306,Jan
2024-01-23T18:56:00Z,26,0.04,95.93,0.00,-3.3333333333333335,-4.147333333333332,0.98,37.24,82.06999585303159,11.941026556830266,488.8312838118233,Jan
2024-01-23T20:56:00Z,26,0.01,92.01,0.00,-3.3333333333333335,-4.931333333333333,0.245,37.485,82.06999585303159,2.9852566392075666,491.8165404510309,Jan
2024-01-23T23:56:00Z,24,0.01,91.94,0.00,-4.444444444444445,-6.056444444444445,0.245,37.73,77.13390634480132,3.1762944677637543,494.99283491879464,Jan
2024-01-27T23:56:00Z,24,0.01,95.89,0.00,-4.444444444444445,-5.266444444444445,0.245,37.975,77.13390634480132,3.1762944677637543,498.1691293865584,Jan
2024-02-02T20:56:00Z,31,0.01,92.19,0.00,-0.5555555555555556,-2.117555555555556,0.245,38.22,109.27591273040682,2.2420311473804504,500.4111605339388,Feb
2024-02-02T21:56:00Z,30,0.01,88.44,0.00,-1.1111111111111112,-3.4231111111111114,0.245,38.465,101.29193205395168,2.4187513756722923,502.82991190961116,Feb
2024-02-02T22:56:00Z,28,0.02,92.08,0.00,-2.2222222222222223,-3.806222222222223,0.49,38.955,89.65045559050863,5.465672168339507,508.29558407795065,Feb
2024-02-02T23:56:00Z,27,0.02,95.95,0.00,-2.7777777777777777,-3.5877777777777773,0.49,39.445,85.45527463401083,5.733993625303757,514.0295777032544,Feb
2024-02-03T00:56:00Z,28,0.01,92.08,0.00,-2.2222222222222223,-3.806222222222223,0.245,39.69,89.65045559050863,2.7328360841697537,516.7624137874242,Feb
2024-02-03T04:56:00Z,26,0.02,92.01,0.00,-3.3333333333333335,-4.931333333333333,0.49,40.18,82.06999585303159,5.970513278415133,522.7329270658392,Feb
2024-02-03T05:56:00Z,26,0.01,92.01,0.00,-3.3333333333333335,-4.931333333333333,0.245,40.425,82.06999585303159,2.9852566392075666,525.7181837050468,Feb
2024-02-03T06:56:00Z,26,0.03,92.01,0.00,-3.3333333333333335,-4.931333333333333,0.735,41.16,82.06999585303159,8.9557699176227,534.6739536226695,Feb
2024-02-03T07:56:00Z,26,0.04,92.01,0.00,-3.3333333333333335,-4.931333333333333,0.98,42.14,82.06999585303159,11.941026556830266,546.6149801794999,Feb
2024-02-03T08:56:00Z,26,0.04,88.23,0.00,-3.3333333333333335,-5.687333333333333,0.98,43.12,82.06999585303159,11.941026556830266,558.5560067363301,Feb
2024-02-03T09:56:00Z,26,0.04,88.23,0.00,-3.3333333333333335,-5.687333333333333,0.98,44.1,82.06999585303159,11.941026556830266,570.4970332931604,Feb
2024-02-03T15:56:00Z,28,0.01,81.25,0.00,-2.2222222222222223,-5.972222222222222,0.245,44.345,89.65045559050863,2.7328360841697537,573.2298693773301,Feb
2024-02-03T19:56:00Z,24,0.01,88.13,0.00,-4.444444444444445,-6.818444444444445,0.245,44.589999999999996,77.13390634480132,3.1762944677637543,576.4061638450938,Feb
2024-02-03T20:56:00Z,23,0.02,95.88,0.00,-5,-5.824000000000001,0.49,45.08,75.35511232588772,6.5025448821693805,582.9087087272633,Feb
2024-02-03T21:56:00Z,23,0.02,91.9,0.00,-5,-6.619999999999999,0.49,45.57,75.35511232588772,6.5025448821693805,589.4112536094326,Feb
2024-02-03T22:56:00Z,23,0.02,91.9,0.00,-5,-6.619999999999999,0.49,46.06,75.35511232588772,6.5025448821693805,595.913798491602,Feb
2024-02-03T23:56:00Z,23,0.02,91.9,0.00,-5,-6.619999999999999,0.49,46.55,75.35511232588772,6.5025448821693805,602.4163433737714,Feb
2024-02-04T00:56:00Z,22,0.01,91.87,0.00,-5.555555555555555,-7.181555555555555,0.245,46.795,73.91972402907676,3.314406313308581,605.73074968708,Feb
2024-02-04T01:56:00Z,22,0.03,91.87,0.00,-5.555555555555555,-7.181555555555555,0.735,47.53,73.91972402907676,9.943218939925742,615.6739686270057,Feb
2024-02-04T02:56:00Z,22,0.01,88.02,0.00,-5.555555555555555,-7.951555555555556,0.245,47.775,73.91972402907676,3.314406313308581,618.9883749403143,Feb
2024-02-04T03:56:00Z,20,0.01,91.79,0.00,-6.666666666666667,-8.308666666666666,0.245,48.02,71.82677819786949,3.410984122454585,622.3993590627689,Feb
2024-02-04T04:56:00Z,20,0.02,87.92,0.00,-6.666666666666667,-9.082666666666666,0.49,48.51,71.82677819786949,6.82196824490917,629.221327307678,Feb
2024-02-04T05:56:00Z,20,0.02,87.92,0.00,-6.666666666666667,-9.082666666666666,0.49,49,71.82677819786949,6.82196824490917,636.0432955525872,Feb
2024-02-04T06:56:00Z,20,0.02,91.79,0.00,-6.666666666666667,-8.308666666666666,0.49,49.49,71.82677819786949,6.82196824490917,642.8652637974964,Feb
2024-02-04T07:56:00Z,20,0.02,87.92,0.00,-6.666666666666667,-9.082666666666666,0.49,49.98,71.82677819786949,6.82196824490917,649.6872320424055,Feb
2024-02-04T08:56:00Z,21,0.03,87.97,0.00,-6.111111111111112,-8.517111111111111,0.735,50.714999999999996,72.76144513859558,10.101503599880077,659.7887356422856,Feb
2024-02-04T09:56:00Z,21,0.02,91.83,0.00,-6.111111111111112,-7.745111111111112,0.49,51.205,72.76144513859558,6.734335733253385,666.523071375539,Feb
2024-02-05T04:56:00Z,15,0.02,87.65,0.00,-9.444444444444445,-11.914444444444444,0.49,51.695,69.25671080261088,7.075126645799755,673.5981980213388,Feb
2024-02-05T06:56:00Z,17,0.02,91.68,0.00,-8.333333333333334,-9.997333333333332,0.49,52.185,69.97281577713434,7.00271947838523,680.600917499724,Feb
2024-02-05T07:56:00Z,17,0.01,91.68,0.00,-8.333333333333334,-9.997333333333332,0.245,52.43,69.97281577713434,3.501359739192615,684.1022772389166,Feb
2024-02-05T08:56:00Z,21,0.02,95.84,0.00,-6.111111111111112,-6.943111111111111,0.49,52.92,72.76144513859558,6.734335733253385,690.83661297217,Feb
2024-02-05T09:56:00Z,23,0.02,91.9,0.00,-5,-6.619999999999999,0.49,53.41,75.35511232588772,6.5025448821693805,697.3391578543394,Feb
2024-02-05T10:56:00Z,22,0.01,91.87,0.00,-5.555555555555555,-7.181555555555555,0.245,53.655,73.91972402907676,3.314406313308581,700.6535641676479,Feb
2024-02-05T11:56:00Z,24,0.01,88.13,0.00,-4.444444444444445,-6.818444444444445,0.245,53.9,77.13390634480132,3.1762944677637543,703.8298586354117,Feb
2024-02-05T12:56:00Z,27,0.01,88.28,0.00,-2.7777777777777777,-5.121777777777778,0.245,54.144999999999996,85.45527463401083,2.8669968126518786,706.6968554480636,Feb
2024-02-05T13:56:00Z,29,0.01,88.38,0.00,-1.6666666666666667,-3.9906666666666677,0.245,54.39,94.84930165206421,2.5830448483293393,709.279900296393,Feb
2024-02-05T15:56:00Z,30,0.01,88.44,0.00,-1.1111111111111112,-3.4231111111111114,0.245,54.635,101.29193205395168,2.4187513756722923,711.6986516720652,Feb
